"","return"
"1",0
"2",0.0017289846915185
"3",-0.0159063709726819
"4",-0.00184866091200342
"5",0.00664830493487711
"6",-0.00882149292655876
"7",-0.0113751076269512
"8",0.0141055467420883
"9",-0.00579154068992327
"10",-0.0167120275660215
"11",0.0442383131309023
"12",-0.0153924479166667
"13",-0.0172862601507103
"14",-0.0495986379352317
"15",0.0269026548672566
"16",0.0141330575663565
"17",0.00942025832766835
"18",-0.0413219533838002
"19",-0.0362787495609413
"20",0.0139018842485938
"21",0.00580288592814893
"22",0.0172061472480343
"23",-0.0360386695987286
"24",0.0177556875133129
"25",-0.0068556024498353
"26",0.0106635691461687
"27",-0.0054539984523575
"28",0.0181939740586701
"29",0.0086073188424487
"30",0.0150713435429877
"31",-0.00417893788873402
"32",0.00187602062447656
"33",-0.00620903759917213
"34",-0.00619826449149596
"35",-0.0167647942673345
"36",0.0182686292148306
"37",0.00667794238943831
"38",0.0129702371100895
"39",0.0213567397391603
"40",-0.000669888472947688
"41",0.00229818516840696
"42",0.00659250025849123
"43",0.0391059188288343
"44",0.000593761121831182
"45",0.0179842608002827
"46",0.00816070307595718
"47",0.00293536737235378
"48",0.00487808451679395
"49",-0.0121800002150045
"50",0.00272507138223488
"51",-0.00147017160900886
"52",0.00236473309424468
"53",-0.0106832498796616
"54",0.0112486299212597
"55",0.01606221967298
"56",0.00442291134779871
"57",-0.0118585861495895
"58",0.0187514137436327
"59",0.00645297497862418
"60",0.014888712683184
"61",-0.0036039687463717
"62",0.00412767666600322
"63",0.010679323642836
"64",0.00440270032286461
"65",0.0044251315020456
"66",-0.00270154617957696
"67",0.00766823075360334
"68",0.00206789366091042
"69",0.000577819986885775
"70",0.0134472305720326
"71",0.0131466317205158
"72",-0.00610641169853776
"73",-0.00133379147401103
"74",-0.0100377054257802
"75",0.0598143842318064
"76",0.0279685676717625
"77",0.0163620365110657
"78",-0.00491082967174972
"79",-0.0276809350649351
"80",-0.00167910250400394
"81",0.0269113612677578
"82",-0.0281045405567439
"83",0.0201462940725987
"84",-0.0287967411300919
"85",-0.010398902600846
"86",-0.0380483456385015
"87",-0.0421929576902667
"88",0.0768676372526567
"89",0.00996111705001534
"90",0.0217136431445357
"91",-0.0142317221447857
"92",-0.0175723948355412
"93",0.00157595146166578
"94",-0.00731654449479835
"95",-0.0159295770475444
"96",-0.0426028656647222
"97",0.0191789862460137
"98",0.0183228287116926
"99",-0.00624088192966255
"100",-0.00452656397563922
"101",0.037851789368786
"102",0.0139333574559577
"103",0.0153767824547872
"104",0.0119618603989089
"105",-0.00314455000887892
"106",-0.0272118876982078
"107",-0.0196124697790686
"108",-0.00641587620282325
"109",-0.0245859379202512
"110",0.0300576325676851
"111",0.0119755854225194
"112",0.00303735538460703
"113",0.0212757265403936
"114",0.0291116326525993
"115",0.0172871840256361
"116",0.00809205858547024
"117",-0.0142298686971902
"118",0.0136209935838474
"119",-0.0105166917731122
"120",-0.00727016274864367
"121",-0.00855020061635392
"122",0.00599926509186344
"123",-0.0452105546744606
"124",-0.0181130490792967
"125",-0.0121257269391557
"126",-0.00619768170644941
"127",0.00684375129687376
"128",0.0403812405521258
"129",-0.00224220828831201
"130",0.00592818009221596
"131",-0.00897462431284768
"132",-0.0213378512338053
"133",0.00369337575366746
"134",-0.00506466213261569
"135",-0.00616423155560508
"136",-0.0172869467787116
"137",0.0256942593271199
"138",0.00932951729705112
"139",0.0188011013215859
"140",0.00355183394492586
"141",-0.00253900142520591
"142",0.0185128509719221
"143",-0.0118146465397767
"144",-0.0109212446351932
"145",-0.0033318818591106
"146",0.0178814693877551
"147",0.000305503141325048
"148",0.00400870455451918
"149",-0.00486725979363822
"150",-0.00615208225515873
"151",0.0063823288992737
"152",-0.00893978250818828
"153",-0.0355422221881621
"154",0.0063951557839268
"155",-0.0106834584375869
"156",-0.00586111573531345
"157",0.0174850745441746
"158",0.00436551949682018
"159",-0.0126051452200623
"160",-0.000960525021273528
"161",-0.0153821668124392
"162",-0.023881107756604
"163",0.012336897644968
"164",-0.0107455718926992
"165",0.00557681010936539
"166",0.00364201626878513
"167",0.00247427637028541
"168",0.0297408139902788
"169",0.0073502657667921
"170",0.0261729004801317
"171",-0.00370988897600522
"172",0.0198207982622862
"173",0.000570500532481422
"174",0.00129244689690866
"175",0.0137808131809727
"176",0.00381959251318764
"177",0.0080579127683913
"178",0.0234994011842025
"179",-0.0043388509238167
"180",0.028543384848845
"181",0.00190660596556325
"182",0.0140254570387925
"183",0.00406595992171099
"184",0.0117680054728508
"185",-0.00396829501915696
"186",-0.0147684715524855
"187",0.00177784285017091
"188",-0.0125969311367764
"189",-0.00433484386953964
"190",-0.0137334985133797
"191",0.0369652438860792
"192",0.000865176137186063
"193",0.000103793356721837
"194",0.0167692132834738
"195",0.00438666984051439
"196",0.0107665768187937
"197",0.00535942915040621
"198",0.00722995915959324
"199",0.0411166804639824
"200",0.0103577939977835
"201",-0.0267610436885404
"202",0.00336038006682937
"203",-0.00325246518213973
"204",-0.00662322288386596
"205",0.00445575845926127
"206",-0.00255793291024475
"207",-0.000714156774181851
"208",-0.00841373452566407
"209",-0.0139562437181401
"210",0.0106318689445979
"211",0.0170293911642867
"212",0.0111198090685212
"213",0.0174871988176266
"214",-0.00358192720440054
"215",0.00469845191682094
"216",-0.00797194129754719
"217",0.00616933711095946
"218",-0.00433915050376765
"219",-0.0272225601557848
"220",-0.00321395980445893
"221",-0.0177501437662884
"222",-0.00361412528057781
"223",0.0263893241079622
"224",-0.00551175962794481
"225",0.0216151270287857
"226",-0.0147754142924911
"227",0.0196612193046826
"228",0.000635336729800873
"229",0.00593653333333344
"230",-0.0180515916798285
"231",0.0168728908886389
"232",0.00553097345132736
"233",-0.00223163916391655
"234",0.0085370714650066
"235",-0.00605968429574821
"236",0.00879922052984861
"237",-0.00389397210187881
"238",0.00250183887915933
"239",0.00346270289977668
"240",-0.00429004891447871
"241",0.00021855192911846
"242",0.00277806207598719
"243",-0.00199220549708212
"244",0.00499049942285645
"245",0.00617605909189667
"246",0.00296115988751988
"247",-0.00479761354161168
"248",0.00333741652240516
"249",0.00243322662149148
